Date	Price	Open	High	Low	Vol.	Change %
10/9/2025	"164,530.81"	"165,526.94"	"166,729.97"	"164,306.77"	698.87M	-0.45%
10/8/2025	"165,266.75"	"166,360.55"	"166,947.20"	"165,109.84"	554.83M	-0.55%
10/7/2025	"166,173.75"	"168,299.20"	"168,518.97"	"165,997.20"	629.74M	-0.94%
10/6/2025	"167,752.41"	"169,178.98"	"169,326.34"	"165,997.38"	623.77M	-0.73%
10/3/2025	"168,990.06"	"169,041.41"	"169,988.63"	"168,613.41"	831.08M	0.30%
10/2/2025	"168,489.63"	"166,079.48"	"168,619.31"	"165,567.22"	776.26M	1.72%
10/1/2025	"165,640.34"	"166,176.66"	"166,522.61"	"164,155.31"	1.00B	0.09%
9/30/2025	"165,493.59"	"164,354.55"	"166,556.30"	"164,208.34"	629.99M	1.00%
9/29/2025	"163,847.69"	"162,920.48"	"163,903.63"	"162,058.64"	483.73M	0.98%
9/26/2025	"162,257.02"	"159,901.56"	"162,422.30"	"159,901.56"	562.77M	1.87%
9/25/2025	"159,280.09"	"158,849.28"	"159,537.59"	"158,297.44"	880.27M	0.66%
9/24/2025	"158,236.69"	"158,529.73"	"159,046.59"	"158,133.31"	1.03B	0.18%
9/23/2025	"157,945.03"	"158,187.31"	"158,831.22"	"157,416.55"	771.29M	0.25%
9/22/2025	"157,554.66"	"158,528.16"	"158,850.34"	"157,245.73"	833.29M	-0.31%
9/19/2025	"158,037.38"	"158,555.48"	"159,337.45"	"157,522.00"	890.89M	0.05%
9/18/2025	"157,953.47"	"157,020.08"	"158,082.55"	"156,978.84"	555.47M	1.14%
9/17/2025	"156,177.81"	"156,887.48"	"157,196.59"	"155,960.36"	367.85M	0.00%
9/16/2025	"156,180.94"	"155,960.66"	"156,467.92"	"155,781.84"	423.57M	0.51%
9/15/2025	"155,384.52"	"154,612.19"	"155,602.30"	"154,486.20"	274.67M	0.61%
9/12/2025	"154,439.69"	"156,201.70"	"156,519.14"	"154,360.34"	241.10M	-1.09%
9/11/2025	"156,141.25"	"157,284.66"	"157,816.77"	"156,103.81"	402.82M	-0.56%
9/10/2025	"157,020.80"	"156,571.73"	"157,479.42"	"156,079.53"	437.13M	0.29%
9/9/2025	"156,563.53"	"156,640.09"	"157,088.81"	"155,044.27"	480.31M	0.31%
9/8/2025	"156,087.31"	"155,057.34"	"156,199.30"	"154,944.88"	492.41M	1.17%
9/5/2025	"154,277.19"	"153,149.44"	"154,511.31"	"153,129.78"	471.37M	1.06%
9/4/2025	"152,665.72"	"152,599.44"	"153,411.06"	"152,264.97"	407.27M	0.30%
9/3/2025	"152,201.88"	"151,320.50"	"152,805.30"	"151,320.50"	337.87M	0.81%
9/2/2025	"150,975.48"	"150,318.63"	"151,075.67"	"150,081.41"	442.00M	0.67%
9/1/2025	"149,971.13"	"149,079.23"	"150,066.00"	"148,500.20"	511.82M	0.91%
8/29/2025	"148,617.78"	"147,591.81"	"149,234.95"	"147,488.47"	624.60M	0.86%
8/28/2025	"147,343.52"	"147,554.39"	"148,042.00"	"147,209.56"	306.53M	-0.10%
8/27/2025	"147,494.03"	"148,841.67"	"149,237.92"	"147,337.02"	186.41M	-0.63%
8/26/2025	"148,435.06"	"149,096.34"	"149,453.19"	"148,312.58"	161.93M	-0.26%
8/25/2025	"148,815.31"	"149,828.16"	"150,079.77"	"148,757.14"	210.52M	-0.45%
8/22/2025	"149,493.06"	"149,659.84"	"150,465.17"	"149,448.94"	335.53M	0.17%
8/21/2025	"149,235.27"	"150,948.94"	"151,249.63"	"148,272.58"	426.27M	-0.90%
8/20/2025	"150,591.00"	"150,106.16"	"151,261.67"	"149,931.69"	275.22M	0.55%
8/19/2025	"149,770.75"	"148,464.55"	"150,323.39"	"148,293.94"	340.19M	1.06%
8/18/2025	"148,196.42"	"146,679.73"	"148,395.72"	"146,403.66"	229.07M	1.16%
8/15/2025	"146,491.63"	"146,713.84"	"147,534.41"	"146,269.59"	187.00M	-0.03%
8/13/2025	"146,529.31"	"147,334.30"	"147,892.25"	"146,417.80"	298.88M	-0.32%
8/12/2025	"147,005.31"	"147,467.44"	"147,976.98"	"146,894.63"	331.79M	0.05%
8/11/2025	"146,929.84"	"145,650.33"	"147,005.19"	"145,258.50"	299.28M	1.06%
8/8/2025	"145,382.80"	"145,999.41"	"146,813.44"	"144,917.19"	276.74M	-0.18%
8/7/2025	"145,647.14"	"145,793.06"	"146,081.03"	"145,250.19"	326.59M	0.39%
8/6/2025	"145,088.50"	"143,409.59"	"145,187.17"	"143,409.59"	383.51M	1.43%
8/5/2025	"143,037.17"	"142,235.70"	"143,281.34"	"142,235.70"	262.32M	0.69%
8/4/2025	"142,052.66"	"141,962.94"	"142,323.34"	"141,440.48"	349.23M	0.72%
8/1/2025	"141,034.98"	"139,634.91"	"141,160.94"	"138,957.70"	304.55M	1.18%
7/31/2025	"139,390.42"	"139,379.14"	"140,215.22"	"139,083.73"	291.21M	0.71%
7/30/2025	"138,412.25"	"138,141.59"	"139,018.88"	"137,658.81"	167.69M	0.32%
7/29/2025	"137,964.81"	"139,733.06"	"140,331.02"	"137,636.38"	212.75M	-1.02%
7/28/2025	"139,380.06"	"139,759.59"	"140,149.23"	"139,195.84"	213.99M	0.12%
7/25/2025	"139,207.30"	"138,876.06"	"139,436.77"	"138,808.64"	190.96M	0.37%
7/24/2025	"138,692.67"	"139,501.61"	"139,867.83"	"138,614.09"	272.66M	-0.40%
7/23/2025	"139,254.36"	"139,966.08"	"140,202.19"	"139,105.05"	193.42M	-0.12%
7/22/2025	"139,419.63"	"138,197.81"	"139,901.78"	"138,197.81"	245.77M	0.87%
7/21/2025	"138,217.58"	"139,142.17"	"139,201.16"	"138,149.56"	221.76M	-0.27%
7/18/2025	"138,597.36"	"139,600.23"	"140,585.39"	"138,343.73"	256.32M	-0.05%
7/17/2025	"138,665.50"	"136,674.98"	"138,943.47"	"136,674.98"	299.28M	1.68%
7/16/2025	"136,379.97"	"136,169.64"	"137,232.11"	"135,542.89"	273.10M	0.32%
7/15/2025	"135,939.88"	"136,840.16"	"137,747.61"	"135,826.41"	307.74M	-0.41%
7/14/2025	"136,502.55"	"134,937.44"	"136,841.50"	"134,937.44"	259.91M	1.64%
7/11/2025	"134,299.77"	"134,130.91"	"134,931.95"	"134,130.41"	290.06M	0.39%
7/10/2025	"133,782.34"	"132,773.88"	"133,902.34"	"132,706.03"	325.79M	0.91%
7/9/2025	"132,576.98"	"133,524.94"	"133,566.38"	"132,326.19"	161.03M	-0.62%
7/8/2025	"133,403.19"	"133,746.63"	"134,200.27"	"132,696.36"	324.46M	0.02%
7/7/2025	"133,370.16"	"132,485.75"	"133,862.02"	"132,467.13"	344.25M	1.08%
7/4/2025	"131,949.06"	"130,896.03"	"132,129.59"	"130,716.11"	198.95M	0.97%
7/3/2025	"130,686.66"	"130,831.28"	"131,325.11"	"129,776.20"	280.01M	0.26%
7/2/2025	"130,344.03"	"128,616.12"	"130,545.95"	"128,616.12"	345.79M	1.67%
7/1/2025	"128,199.43"	"126,114.17"	"128,475.70"	"126,113.28"	336.91M	2.05%
6/30/2025	"125,627.31"	"124,884.07"	"125,748.59"	"124,500.21"	258.99M	1.00%
6/27/2025	"124,379.07"	"122,229.42"	"125,285.05"	"122,222.70"	220.31M	1.91%
6/26/2025	"122,046.46"	"123,031.82"	"123,417.87"	"122,142.43"	244.24M	-0.58%
6/25/2025	"122,761.64"	"122,753.01"	"123,256.55"	"122,168.76"	221.15M	0.42%
6/24/2025	"122,246.64"	"120,499.53"	"122,725.21"	"120,369.54"	318.30M	5.23%
6/23/2025	"116,167.47"	"118,272.00"	"118,798.52"	"115,887.49"	196.19M	-3.21%
6/20/2025	"120,023.24"	"120,234.96"	"120,828.86"	"119,872.16"	136.80M	0.02%
6/19/2025	"120,002.59"	"121,103.35"	"121,745.30"	"119,770.03"	134.10M	-0.38%
6/18/2025	"120,465.93"	"121,857.97"	"121,905.50"	"120,418.00"	122.21M	-1.23%
6/17/2025	"121,971.04"	"122,367.28"	"122,891.61"	"121,815.39"	203.25M	-0.21%
6/16/2025	"122,225.36"	"122,168.26"	"122,903.34"	"121,889.96"	181.44M	0.07%
6/13/2025	"122,143.57"	"122,679.01"	"123,058.06"	"121,604.60"	238.19M	-1.57%
6/12/2025	"124,093.12"	"124,807.10"	"126,718.28"	"123,846.56"	371.98M	-0.21%
6/11/2025	"124,352.68"	"123,290.25"	"124,588.17"	"123,237.99"	332.59M	1.91%
6/10/2025	"122,024.44"	"122,152.23"	"122,611.53"	"121,589.90"	235.30M	0.32%
6/5/2025	"121,641.00"	"122,106.82"	"122,281.58"	"121,517.90"	407.56M	-0.13%
6/4/2025	"121,798.87"	"120,954.38"	"121,882.48"	"120,896.13"	292.41M	1.12%
6/3/2025	"120,450.87"	"119,129.52"	"120,693.83"	"119,129.52"	315.24M	1.32%
6/2/2025	"118,877.81"	"120,211.57"	"120,590.77"	"118,672.84"	164.32M	-0.68%
5/30/2025	"119,691.09"	"119,138.77"	"119,913.88"	"118,771.84"	211.93M	0.60%
5/29/2025	"118,971.41"	"118,512.41"	"119,639.47"	"118,481.98"	315.84M	0.54%
5/27/2025	"118,332.91"	"118,533.70"	"118,807.92"	"118,143.68"	414.61M	0.09%
5/26/2025	"118,221.12"	"119,211.88"	"119,290.94"	"118,150.28"	350.58M	-0.74%
5/23/2025	"119,102.67"	"119,214.78"	"119,542.52"	"118,665.26"	99.80M	-0.04%
5/22/2025	"119,153.04"	"120,234.81"	"120,699.18"	"119,062.03"	223.28M	-0.65%
5/21/2025	"119,931.46"	"119,239.34"	"120,106.21"	"119,128.39"	280.86M	0.81%
5/20/2025	"118,971.13"	"119,891.17"	"119,900.38"	"118,527.09"	108.11M	-0.60%
5/19/2025	"119,689.63"	"120,164.33"	"120,285.55"	"119,250.68"	119.53M	0.03%
5/16/2025	"119,649.14"	"120,292.95"	"120,506.18"	"119,541.15"	235.07M	-0.26%
5/15/2025	"119,961.91"	"118,871.13"	"119,990.30"	"118,871.13"	310.69M	1.20%
5/14/2025	"118,536.53"	"118,950.61"	"119,460.54"	"118,148.65"	273.52M	-0.03%
5/13/2025	"118,575.89"	"120,067.12"	"120,067.12"	"116,859.93"	366.25M	1.09%
5/12/2025	"117,297.73"	"117,104.12"	"117,327.78"	"115,794.37"	345.35M	9.45%
5/9/2025	"107,174.64"	"103,949.69"	"107,541.45"	"102,420.82"	238.40M	3.52%
5/8/2025	"103,526.82"	"110,842.45"	"111,881.03"	"101,598.91"	308.03M	-5.89%
5/7/2025	"110,009.03"	"107,007.68"	"112,457.38"	"107,007.68"	261.52M	-3.13%
5/6/2025	"113,568.51"	"114,392.83"	"115,093.11"	"113,418.52"	165.33M	-0.47%
5/5/2025	"114,102.24"	"114,385.61"	"114,552.21"	"113,077.67"	153.68M	-0.01%
5/2/2025	"114,113.94"	"112,820.08"	"114,546.88"	"112,820.08"	192.30M	2.50%
4/30/2025	"111,326.58"	"114,066.13"	"114,066.13"	"110,631.84"	254.49M	-3.09%
4/29/2025	"114,872.18"	"113,869.98"	"115,040.59"	"112,935.57"	185.49M	0.71%
4/28/2025	"114,063.90"	"116,305.70"	"116,658.95"	"113,867.81"	190.22M	-1.22%
4/25/2025	"115,469.35"	"115,099.65"	"115,844.89"	"113,716.60"	213.62M	0.39%
4/24/2025	"115,019.82"	"115,269.30"	"116,568.14"	"114,661.20"	197.69M	-1.88%
4/23/2025	"117,226.15"	"118,422.67"	"118,811.24"	"117,120.39"	242.52M	-1.02%
4/22/2025	"118,430.35"	"118,546.17"	"119,217.19"	"118,161.68"	353.61M	0.04%
4/21/2025	"118,383.38"	"117,712.70"	"118,827.47"	"117,712.70"	367.34M	0.91%
4/18/2025	"117,315.59"	"117,360.60"	"117,888.13"	"116,759.07"	212.79M	0.35%
4/17/2025	"116,901.13"	"116,073.70"	"117,216.03"	"115,818.07"	221.69M	0.76%
4/16/2025	"116,020.11"	"117,187.51"	"117,424.04"	"115,776.12"	248.07M	-0.65%
4/15/2025	"116,775.50"	"116,739.03"	"117,362.23"	"116,645.69"	215.17M	0.33%
4/14/2025	"116,390.04"	"115,448.73"	"116,494.20"	"115,246.21"	273.77M	1.34%
4/11/2025	"114,853.33"	"115,937.38"	"115,937.38"	"114,639.92"	250.71M	-1.15%
4/10/2025	"116,189.21"	"117,094.15"	"117,484.17"	"116,130.90"	391.05M	1.78%
4/9/2025	"114,153.16"	"115,092.12"	"115,092.12"	"112,891.49"	267.60M	-1.19%
4/8/2025	"115,532.43"	"115,800.77"	"116,692.29"	"115,560.91"	338.91M	0.54%
4/7/2025	"114,909.49"	"117,601.62"	"117,601.62"	"110,103.98"	389.42M	-3.27%
4/4/2025	"118,791.66"	"119,155.22"	"120,796.67"	"118,718.26"	313.41M	-0.12%
4/3/2025	"118,938.11"	"117,873.59"	"119,179.46"	"117,508.07"	201.03M	0.96%
3/27/2025	"117,806.75"	"118,037.70"	"118,147.25"	"117,551.42"	193.47M	0.03%
3/26/2025	"117,772.31"	"117,935.80"	"118,220.88"	"117,178.23"	231.39M	0.98%
3/25/2025	"116,633.17"	"116,375.71"	"116,904.55"	"115,877.88"	158.06M	0.17%
3/24/2025	"116,439.62"	"118,797.70"	"118,797.70"	"116,257.52"	167.11M	-1.69%
3/21/2025	"118,442.18"	"119,078.91"	"119,405.92"	"118,334.40"	172.21M	-0.28%
3/20/2025	"118,769.77"	"118,525.01"	"119,421.81"	"118,444.04"	401.60M	0.67%
3/19/2025	"117,974.03"	"117,198.36"	"118,243.63"	"116,882.80"	301.11M	0.83%
3/18/2025	"117,001.09"	"116,657.45"	"117,202.10"	"116,490.82"	274.47M	0.69%
3/17/2025	"116,199.59"	"116,012.73"	"116,626.83"	"115,883.22"	286.47M	0.57%
3/14/2025	"115,536.17"	"115,705.29"	"115,730.98"	"115,162.69"	205.48M	0.38%
3/13/2025	"115,094.24"	"114,429.93"	"115,247.40"	"114,429.93"	210.93M	0.89%
3/12/2025	"114,084.54"	"114,503.40"	"114,661.89"	"114,001.50"	128.44M	-0.08%
3/11/2025	"114,177.66"	"114,180.10"	"114,486.20"	"113,610.31"	171.98M	-0.16%
3/10/2025	"114,356.34"	"114,432.80"	"115,048.42"	"114,152.31"	165.91M	-0.04%
3/7/2025	"114,398.70"	"114,169.20"	"114,721.58"	"114,169.20"	233.23M	0.60%
3/6/2025	"113,713.18"	"112,506.52"	"113,871.22"	"112,446.01"	240.89M	1.30%
3/5/2025	"112,253.76"	"112,952.94"	"113,327.12"	"112,146.10"	152.19M	-0.43%
3/4/2025	"112,743.80"	"112,106.68"	"112,877.02"	"111,717.17"	101.17M	0.68%
3/3/2025	"111,986.89"	"113,498.58"	"113,591.83"	"111,829.15"	108.00M	-1.12%
2/28/2025	"113,251.67"	"113,890.68"	"114,265.97"	"113,201.84"	231.45M	-0.47%
2/27/2025	"113,784.31"	"114,045.13"	"114,456.92"	"113,729.53"	207.29M	-0.07%
2/26/2025	"113,862.33"	"114,580.40"	"114,762.93"	"113,849.93"	333.21M	-0.58%
2/25/2025	"114,528.09"	"114,900.47"	"115,889.60"	"114,178.56"	290.83M	0.17%
2/24/2025	"114,330.10"	"112,700.10"	"114,573.68"	"111,857.34"	214.10M	1.36%
2/21/2025	"112,800.93"	"114,441.59"	"114,444.01"	"112,813.87"	216.95M	-0.82%
2/20/2025	"113,739.16"	"113,601.96"	"114,202.14"	"113,525.90"	507.75M	0.35%
2/19/2025	"113,342.44"	"113,465.70"	"114,029.76"	"113,060.26"	461.11M	0.22%
2/18/2025	"113,088.48"	"112,023.31"	"113,252.55"	"111,642.02"	348.50M	1.20%
2/17/2025	"111,743.53"	"112,283.82"	"112,524.81"	"111,513.67"	295.85M	-0.30%
2/14/2025	"112,085.30"	"113,070.07"	"113,482.13"	"111,861.56"	238.58M	-0.43%
2/13/2025	"112,564.08"	"113,023.24"	"113,477.71"	"112,540.12"	289.29M	-0.32%
2/12/2025	"112,924.94"	"113,302.68"	"113,436.72"	"112,621.14"	399.90M	-0.08%
2/11/2025	"113,010.38"	"111,834.21"	"113,233.41"	"111,834.21"	244.30M	1.47%
2/10/2025	"111,377.97"	"110,610.81"	"111,622.72"	"109,948.57"	193.05M	0.96%
2/7/2025	"110,322.94"	"110,575.28"	"110,905.09"	"109,686.53"	129.19M	0.02%
2/6/2025	"110,301.16"	"112,053.96"	"112,234.15"	"109,405.54"	174.30M	-1.46%
2/4/2025	"111,935.38"	"113,091.72"	"113,649.08"	"111,828.11"	170.65M	-0.72%
2/3/2025	"112,745.01"	"114,550.59"	"114,620.79"	"112,681.34"	165.87M	-1.32%
1/31/2025	"114,255.73"	"113,745.99"	"115,106.99"	"113,692.87"	250.68M	0.93%
1/30/2025	"113,206.40"	"111,805.66"	"113,400.57"	"111,805.66"	172.24M	1.54%
1/29/2025	"111,487.36"	"112,274.42"	"112,569.90"	"111,157.19"	201.92M	-0.48%
1/28/2025	"112,030.36"	"113,398.28"	"113,644.72"	"111,434.95"	211.43M	-1.31%
1/27/2025	"113,520.32"	"115,075.86"	"115,596.87"	"113,482.23"	231.20M	-1.18%
1/24/2025	"114,880.49"	"114,407.66"	"115,779.06"	"114,383.17"	280.36M	0.74%
1/23/2025	"114,037.79"	"113,580.21"	"114,319.62"	"113,234.31"	374.09M	0.52%
1/22/2025	"113,443.43"	"114,996.26"	"115,256.16"	"113,359.38"	358.35M	-1.39%
1/21/2025	"115,042.25"	"116,320.30"	"116,424.85"	"114,783.72"	338.09M	-0.69%
1/20/2025	"115,844.82"	"115,868.94"	"116,276.42"	"115,668.08"	268.34M	0.50%
1/17/2025	"115,272.08"	"114,060.38"	"115,356.12"	"113,571.96"	212.26M	1.26%
1/16/2025	"113,836.74"	"114,800.98"	"114,884.63"	"113,630.45"	176.92M	-0.58%
1/15/2025	"114,495.71"	"115,360.64"	"115,773.39"	"114,298.29"	263.60M	-0.27%
1/14/2025	"114,804.17"	"114,541.46"	"115,044.79"	"113,836.61"	258.82M	0.50%
1/13/2025	"114,230.06"	"113,715.50"	"114,496.09"	"113,083.86"	198.49M	0.87%
1/10/2025	"113,247.29"	"112,544.62"	"113,554.07"	"112,013.59"	216.22M	0.54%
1/9/2025	"112,638.26"	"114,313.00"	"114,329.95"	"112,594.67"	268.88M	-1.32%
1/8/2025	"114,148.46"	"116,591.08"	"117,750.23"	"113,847.04"	254.28M	-1.64%
1/7/2025	"116,052.68"	"116,667.55"	"116,843.41"	"113,677.50"	401.23M	-0.17%
1/6/2025	"116,255.13"	"118,309.50"	"118,735.10"	"115,941.95"	369.83M	-1.13%
1/3/2025	"117,586.98"	"117,484.90"	"117,891.62"	"115,580.02"	398.07M	0.40%
1/2/2025	"117,119.66"	"117,150.31"	"118,367.81"	"116,857.61"	383.72M	0.10%
1/1/2025	"117,008.08"	"115,258.12"	"117,341.03"	"114,719.89"	465.17M	1.63%
12/31/2024	"115,126.90"	"116,700.02"	"116,700.02"	"114,804.81"	580.52M	-0.11%
12/30/2024	"115,259.00"	"111,916.71"	"115,422.34"	"111,916.71"	521.36M	3.51%
12/27/2024	"111,351.18"	"110,658.65"	"112,043.77"	"110,246.93"	293.22M	0.84%
12/26/2024	"110,423.32"	"112,480.60"	"112,480.60"	"109,858.88"	274.82M	-1.77%
12/24/2024	"112,414.81"	"114,987.83"	"115,036.50"	"112,294.42"	352.68M	-1.33%
12/23/2024	"113,924.42"	"110,990.57"	"114,189.72"	"110,891.36"	424.81M	4.03%
12/20/2024	"109,513.15"	"106,073.21"	"109,846.64"	"105,601.04"	321.98M	3.05%
12/19/2024	"106,274.98"	"110,140.75"	"111,745.03"	"105,937.37"	531.31M	-4.32%
12/18/2024	"111,070.29"	"114,854.05"	"116,236.71"	"110,896.27"	507.24M	-3.30%
12/17/2024	"114,860.69"	"116,308.02"	"117,039.18"	"113,688.55"	548.57M	-1.13%
12/16/2024	"116,169.41"	"115,433.26"	"116,681.59"	"115,346.00"	491.30M	1.63%
12/13/2024	"114,301.80"	"114,627.54"	"115,172.45"	"112,609.26"	479.75M	0.11%
12/12/2024	"114,180.51"	"111,308.66"	"114,408.62"	"111,308.66"	636.22M	3.04%
12/11/2024	"110,810.22"	"109,455.51"	"111,012.02"	"109,416.32"	509.28M	1.76%
12/10/2024	"108,896.65"	"110,738.04"	"111,759.58"	"107,711.40"	669.93M	-0.98%
12/9/2024	"109,970.39"	"109,094.07"	"110,358.85"	"107,625.92"	719.55M	0.84%
12/6/2024	"109,053.95"	"108,864.72"	"109,478.09"	"108,550.87"	658.76M	0.75%
12/5/2024	"108,238.97"	"105,661.16"	"108,345.99"	"105,448.06"	721.60M	2.98%
12/4/2024	"105,104.34"	"105,080.29"	"105,473.56"	"104,315.41"	697.65M	0.52%
12/3/2024	"104,559.07"	"103,520.00"	"104,680.89"	"102,825.60"	756.59M	1.24%
12/2/2024	"103,274.95"	"101,921.21"	"103,386.47"	"101,921.21"	695.79M	1.89%
11/29/2024	"101,357.32"	"100,393.16"	"101,496.18"	"99,822.62"	454.63M	1.27%
11/28/2024	"100,082.77"	"100,059.29"	"100,540.29"	"99,354.24"	555.94M	0.82%
11/27/2024	"99,269.25"	"97,425.06"	"99,549.81"	"97,188.28"	495.79M	4.96%
11/26/2024	"94,574.16"	"98,049.38"	"99,819.59"	"94,180.60"	517.94M	-3.57%
11/25/2024	"98,079.78"	"97,851.82"	"99,317.48"	"97,137.64"	281.10M	0.29%
11/22/2024	"97,798.23"	"97,835.39"	"99,623.04"	"97,471.12"	515.07M	0.48%
11/21/2024	"97,328.40"	"95,674.50"	"97,437.15"	"95,300.21"	323.53M	1.86%
11/20/2024	"95,546.46"	"96,055.66"	"96,711.33"	"95,311.97"	565.38M	-0.32%
11/19/2024	"95,856.67"	"95,241.64"	"96,036.49"	"95,212.63"	377.89M	0.91%
11/18/2024	"94,995.67"	"95,060.85"	"95,307.92"	"94,620.45"	277.31M	0.24%
11/15/2024	"94,763.64"	"94,431.19"	"95,278.27"	"94,431.19"	283.27M	0.61%
11/14/2024	"94,191.89"	"93,672.72"	"94,289.97"	"93,672.72"	255.61M	0.90%
11/13/2024	"93,355.43"	"93,362.53"	"93,803.59"	"92,943.08"	295.67M	0.14%
11/12/2024	"93,224.56"	"93,799.93"	"93,871.62"	"92,893.11"	408.48M	-0.45%
11/11/2024	"93,648.33"	"93,485.41"	"94,020.03"	"93,318.91"	468.86M	0.38%
11/8/2024	"93,291.68"	"92,623.84"	"93,514.56"	"92,566.49"	362.83M	0.83%
11/7/2024	"92,520.49"	"92,259.48"	"92,694.54"	"92,185.69"	322.63M	0.54%
11/6/2024	"92,021.44"	"92,509.76"	"92,966.95"	"91,891.47"	376.32M	-0.31%
11/5/2024	"92,304.32"	"92,510.48"	"92,514.30"	"91,536.09"	289.41M	0.40%
11/4/2024	"91,938.01"	"91,454.30"	"92,159.08"	"91,395.35"	311.38M	1.19%
11/1/2024	"90,859.85"	"89,292.74"	"91,133.28"	"88,852.68"	230.03M	2.13%
10/31/2024	"88,966.77"	"90,459.17"	"90,700.23"	"89,063.34"	287.74M	-1.46%
10/30/2024	"90,286.57"	"91,375.53"	"91,872.63"	"90,003.31"	240.63M	-0.64%
10/29/2024	"90,864.09"	"90,509.48"	"91,358.15"	"90,449.42"	256.87M	0.74%
10/28/2024	"90,195.52"	"90,633.65"	"91,054.84"	"89,732.73"	267.24M	0.22%
10/25/2024	"89,993.97"	"89,373.82"	"90,593.61"	"89,373.82"	365.94M	1.18%
10/24/2024	"88,945.99"	"87,553.63"	"89,126.16"	"87,382.05"	458.05M	2.01%
10/23/2024	"87,194.54"	"86,667.99"	"87,309.23"	"86,284.25"	424.37M	0.84%
10/22/2024	"86,466.58"	"86,294.70"	"86,846.04"	"86,294.70"	415.55M	0.48%
10/21/2024	"86,057.52"	"85,353.34"	"86,172.79"	"85,349.33"	240.44M	0.95%
10/18/2024	"85,250.09"	"85,638.58"	"85,773.83"	"85,120.90"	152.92M	-0.39%
10/17/2024	"85,585.43"	"86,439.57"	"86,520.29"	"85,539.20"	219.88M	-0.72%
10/16/2024	"86,205.66"	"86,060.69"	"86,513.46"	"85,948.05"	259.49M	0.43%
10/15/2024	"85,840.34"	"85,264.93"	"85,893.99"	"84,856.21"	251.62M	0.68%
10/14/2024	"85,261.39"	"85,596.91"	"86,105.03"	"85,156.11"	263.52M	-0.26%
10/11/2024	"85,483.40"	"85,432.84"	"85,750.19"	"84,774.46"	295.02M	0.04%
10/10/2024	"85,453.22"	"85,743.41"	"86,013.46"	"85,425.74"	293.94M	-0.25%
10/9/2024	"85,669.28"	"85,823.81"	"86,451.43"	"85,444.31"	349.29M	0.01%
10/8/2024	"85,663.98"	"84,905.56"	"85,824.27"	"84,897.99"	283.71M	0.89%
10/7/2024	"84,910.30"	"83,651.99"	"85,047.81"	"83,303.55"	281.01M	1.65%
10/4/2024	"83,531.96"	"82,804.30"	"83,605.73"	"82,594.80"	173.69M	0.98%
10/3/2024	"82,721.77"	"82,076.34"	"82,958.74"	"81,981.50"	159.63M	0.92%
10/2/2024	"81,967.01"	"81,706.43"	"82,360.29"	"81,529.45"	154.65M	0.20%
10/1/2024	"81,804.59"	"81,199.43"	"81,980.37"	"81,119.24"	191.15M	0.85%
9/30/2024	"81,114.20"	"81,271.08"	"81,321.64"	"80,352.22"	116.76M	-0.22%
9/27/2024	"81,292.13"	"81,737.61"	"81,842.75"	"81,183.50"	153.49M	-0.45%
9/26/2024	"81,657.97"	"82,752.07"	"82,905.73"	"81,552.66"	152.66M	-0.72%
9/25/2024	"82,247.92"	"81,643.50"	"82,331.86"	"81,524.41"	155.31M	0.94%
9/24/2024	"81,483.64"	"81,873.63"	"82,010.10"	"81,107.39"	148.62M	-0.45%
9/23/2024	"81,850.50"	"82,113.42"	"82,463.05"	"81,548.65"	163.00M	-0.27%
9/20/2024	"82,074.45"	"81,694.98"	"82,372.20"	"81,387.57"	243.55M	0.76%
9/19/2024	"81,459.29"	"80,802.77"	"82,003.58"	"80,680.24"	184.89M	1.24%
9/18/2024	"80,461.34"	"79,884.41"	"80,587.44"	"79,798.75"	148.58M	1.22%
9/16/2024	"79,491.14"	"79,682.10"	"79,993.18"	"79,368.18"		0.20%
9/13/2024	"79,333.06"	"79,912.34"	"80,016.74"	"79,262.72"	191.85M	0.40%
9/12/2024	"79,017.62"	"78,843.06"	"79,217.62"	"78,577.65"	132.75M	0.47%
9/11/2024	"78,651.80"	"79,428.49"	"79,507.18"	"78,612.17"	146.52M	-0.80%
9/10/2024	"79,286.74"	"78,776.77"	"79,335.59"	"78,642.87"	121.34M	0.85%
9/9/2024	"78,615.00"	"79,117.78"	"79,214.28"	"78,545.69"	90.27M	-0.36%
9/6/2024	"78,897.73"	"79,009.84"	"79,254.25"	"78,917.29"	141.87M	0.04%
9/5/2024	"78,863.34"	"79,027.52"	"79,154.30"	"78,578.02"	132.20M	0.02%
9/4/2024	"78,848.01"	"78,488.88"	"78,890.79"	"78,488.88"	146.30M	0.63%
9/3/2024	"78,356.32"	"78,566.04"	"78,644.96"	"78,250.90"	99.48M	0.09%
9/2/2024	"78,283.30"	"78,715.16"	"79,014.69"	"78,240.37"	121.32M	-0.26%
8/30/2024	"78,488.22"	"78,552.01"	"78,914.28"	"78,439.62"	148.55M	0.18%
8/29/2024	"78,349.66"	"78,019.51"	"78,513.86"	"78,017.36"	151.39M	0.46%
8/28/2024	"77,992.79"	"78,253.05"	"78,334.61"	"77,990.35"	150.90M	-0.12%
8/27/2024	"78,084.24"	"78,737.23"	"78,857.62"	"78,077.83"	190.60M	-0.62%
8/26/2024	"78,571.06"	"78,907.54"	"79,160.40"	"78,553.87"	141.27M	-0.29%
8/23/2024	"78,801.43"	"78,902.33"	"79,173.94"	"78,760.03"	197.84M	0.01%
